1989,"Hamilton, Ontario",35537,Apartment structures of six units and over,Two bedroom units,v3824802,85.4.3,491
1987,"Hamilton, Ontario",35537,Apartment structures of six units and over,Three bedroom units,v3824990,85.4.4,553
1988,"Hamilton, Ontario",35537,Apartment structures of six units and over,Three bedroom units,v3824990,85.4.4,592
1989,"Hamilton, Ontario",35537,Apartment structures of six units and over,Three bedroom units,v3824990,85.4.4,629
1987,"Hawkesbury, Ontario part, Ontario/Quebec",35502,Apartment structures of six units and over,One bedroom units,v3824744,86.4.2,352
1988,"Hawkesbury, Ontario part, Ontario/Quebec",35502,Apartment structures of six units and over,One bedroom units,v3824744,86.4.2,325
1989,"Hawkesbury, Ontario part, Ontario/Quebec",35502,Apartment structures of six units and over,One bedroom units,v3824744,86.4.2,327
1987,"Hawkesbury, Ontario part, Ontario/Quebec",35502,Apartment structures of six units and over,Two bedroom units,v3824932,86.4.3,368
1988,"Hawkesbury, Ontario part, Ontario/Quebec",35502,Apartment structures of six units and over,Two bedroom units,v3824932,86.4.3,357
1989,"Hawkesbury, Ontario part, Ontario/Quebec",35502,Apartment structures of six units and over,Two bedroom units,v3824932,86.4.3,388
1989,"Huntsville, Ontario",3544042,Apartment structures of six units and over,One bedroom units,v3824693,87.4.2,415
1987,"Kapuskasing, Ontario",,Apartment structures of six units and over,Bachelor units,v3824506,88.4.1,195
1987,"Kapuskasing, Ontario",,Apartment structures of six units and over,One bedroom units,v3824694,88.4.2,275
1988,"Kapuskasing, Ontario",,Apartment structures of six units and over,One bedroom units,v3824694,88.4.2,283
1989,"Kapuskasing, Ontario",,Apartment structures of six units and over,One bedroom units,v3824694,88.4.2,290
1987,"Kapuskasing, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824882,88.4.3,361
1988,"Kapuskasing, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824882,88.4.3,375
1989,"Kapuskasing, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824882,88.4.3,371
1987,"Kapuskasing, Ontario",,Apartment structures of six units and over,Three bedroom units,v3825070,88.4.4,413
1988,"Kapuskasing, Ontario",,Apartment structures of six units and over,Three bedroom units,v3825070,88.4.4,437
1989,"Kapuskasing, Ontario",,Apartment structures of six units and over,Three bedroom units,v3825070,88.4.4,450
1987,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Bachelor units,v3824565,95.4.1,289
1988,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Bachelor units,v3824565,95.4.1,305
1989,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Bachelor units,v3824565,95.4.1,301
1987,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,One bedroom units,v3824753,95.4.2,403
1988,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,One bedroom units,v3824753,95.4.2,431
1989,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,One bedroom units,v3824753,95.4.2,462
1987,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Two bedroom units,v3824941,95.4.3,476
1988,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Two bedroom units,v3824941,95.4.3,513
1989,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Two bedroom units,v3824941,95.4.3,568
1988,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Three bedroom units,v3825129,95.4.4,595
1989,"Kawartha Lakes, Ontario",35530,Apartment structures of six units and over,Three bedroom units,v3825129,95.4.4,654
1987,"Kenora, Ontario",35598,Apartment structures of six units and over,Bachelor units,v3824558,89.4.1,303
1987,"Kenora, Ontario",35598,Apartment structures of six units and over,One bedroom units,v3824746,89.4.2,405
1988,"Kenora, Ontario",35598,Apartment structures of six units and over,One bedroom units,v3824746,89.4.2,423
1989,"Kenora, Ontario",35598,Apartment structures of six units and over,One bedroom units,v3824746,89.4.2,434
1987,"Kenora, Ontario",35598,Apartment structures of six units and over,Two bedroom units,v3824934,89.4.3,536
1988,"Kenora, Ontario",35598,Apartment structures of six units and over,Two bedroom units,v3824934,89.4.3,563
1989,"Kenora, Ontario",35598,Apartment structures of six units and over,Two bedroom units,v3824934,89.4.3,579
1987,"Kingston, Ontario",35521,Apartment structures of six units and over,Bachelor units,v3824463,90.4.1,288
1988,"Kingston, Ontario",35521,Apartment structures of six units and over,Bachelor units,v3824463,90.4.1,283
1989,"Kingston, Ontario",35521,Apartment structures of six units and over,Bachelor units,v3824463,90.4.1,299
1987,"Kingston, Ontario",35521,Apartment structures of six units and over,One bedroom units,v3824651,90.4.2,391
1988,"Kingston, Ontario",35521,Apartment structures of six units and over,One bedroom units,v3824651,90.4.2,404
1989,"Kingston, Ontario",35521,Apartment structures of six units and over,One bedroom units,v3824651,90.4.2,429
1987,"Kingston, Ontario",35521,Apartment structures of six units and over,Two bedroom units,v3824839,90.4.3,460
1988,"Kingston, Ontario",35521,Apartment structures of six units and over,Two bedroom units,v3824839,90.4.3,484
1989,"Kingston, Ontario",35521,Apartment structures of six units and over,Two bedroom units,v3824839,90.4.3,511
1987,"Kingston, Ontario",35521,Apartment structures of six units and over,Three bedroom units,v3825027,90.4.4,566
1988,"Kingston, Ontario",35521,Apartment structures of six units and over,Three bedroom units,v3825027,90.4.4,585
1989,"Kingston, Ontario",35521,Apartment structures of six units and over,Three bedroom units,v3825027,90.4.4,627
1987,"Kirkland Lake, Ontario",,Apartment structures of six units and over,One bedroom units,v3824695,91.4.2,169
1988,"Kirkland Lake, Ontario",,Apartment structures of six units and over,One bedroom units,v3824695,91.4.2,208
1989,"Kirkland Lake, Ontario",,Apartment structures of six units and over,One bedroom units,v3824695,91.4.2,292
1987,"Kirkland Lake, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824883,91.4.3,305
1988,"Kirkland Lake, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824883,91.4.3,295
1989,"Kirkland Lake, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824883,91.4.3,395
1989,"Kirkland Lake, Ontario",,Apartment structures of six units and over,Three bedroom units,v3825071,91.4.4,343
1987,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Bachelor units,v3824427,92.4.1,287
1988,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Bachelor units,v3824427,92.4.1,319
1989,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Bachelor units,v3824427,92.4.1,343
1987,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,One bedroom units,v3824615,92.4.2,366
1988,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,One bedroom units,v3824615,92.4.2,386
1989,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,One bedroom units,v3824615,92.4.2,418
1987,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Two bedroom units,v3824803,92.4.3,434
1988,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Two bedroom units,v3824803,92.4.3,462
1989,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Two bedroom units,v3824803,92.4.3,495
1987,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Three bedroom units,v3824991,92.4.4,530
1988,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Three bedroom units,v3824991,92.4.4,574
1989,"Kitchener-Cambridge-Waterloo, Ontario",35541,Apartment structures of six units and over,Three bedroom units,v3824991,92.4.4,635
1989,"Leamington, Ontario",35557,Apartment structures of six units and over,Bachelor units,v3824564,93.4.1,296
1987,"Leamington, Ontario",35557,Apartment structures of six units and over,One bedroom units,v3824752,93.4.2,397
1988,"Leamington, Ontario",35557,Apartment structures of six units and over,One bedroom units,v3824752,93.4.2,412
1989,"Leamington, Ontario",35557,Apartment structures of six units and over,One bedroom units,v3824752,93.4.2,433
1987,"Leamington, Ontario",35557,Apartment structures of six units and over,Two bedroom units,v3824940,93.4.3,526
1988,"Leamington, Ontario",35557,Apartment structures of six units and over,Two bedroom units,v3824940,93.4.3,521
1989,"Leamington, Ontario",35557,Apartment structures of six units and over,Two bedroom units,v3824940,93.4.3,544
1987,"Leamington, Ontario",35557,Apartment structures of six units and over,Three bedroom units,v3825128,93.4.4,650
1987,"London, Ontario",35555,Apartment structures of six units and over,Bachelor units,v3824428,96.4.1,307
1988,"London, Ontario",35555,Apartment structures of six units and over,Bachelor units,v3824428,96.4.1,322
1989,"London, Ontario",35555,Apartment structures of six units and over,Bachelor units,v3824428,96.4.1,346
1987,"London, Ontario",35555,Apartment structures of six units and over,One bedroom units,v3824616,96.4.2,387
1988,"London, Ontario",35555,Apartment structures of six units and over,One bedroom units,v3824616,96.4.2,405
1989,"London, Ontario",35555,Apartment structures of six units and over,One bedroom units,v3824616,96.4.2,419
1987,"London, Ontario",35555,Apartment structures of six units and over,Two bedroom units,v3824804,96.4.3,478
1988,"London, Ontario",35555,Apartment structures of six units and over,Two bedroom units,v3824804,96.4.3,500
1989,"London, Ontario",35555,Apartment structures of six units and over,Two bedroom units,v3824804,96.4.3,520
1987,"London, Ontario",35555,Apartment structures of six units and over,Three bedroom units,v3824992,96.4.4,625
1988,"London, Ontario",35555,Apartment structures of six units and over,Three bedroom units,v3824992,96.4.4,610
1989,"London, Ontario",35555,Apartment structures of six units and over,Three bedroom units,v3824992,96.4.4,622
1987,"Midland, Ontario",35571,Apartment structures of six units and over,Bachelor units,v3824567,97.4.1,374
1987,"Midland, Ontario",35571,Apartment structures of six units and over,One bedroom units,v3824755,97.4.2,403
1988,"Midland, Ontario",35571,Apartment structures of six units and over,One bedroom units,v3824755,97.4.2,401
1989,"Midland, Ontario",35571,Apartment structures of six units and over,One bedroom units,v3824755,97.4.2,430
1987,"Midland, Ontario",35571,Apartment structures of six units and over,Two bedroom units,v3824943,97.4.3,433
1988,"Midland, Ontario",35571,Apartment structures of six units and over,Two bedroom units,v3824943,97.4.3,476
1989,"Midland, Ontario",35571,Apartment structures of six units and over,Two bedroom units,v3824943,97.4.3,497
1987,"Midland, Ontario",35571,Apartment structures of six units and over,Three bedroom units,v3825131,97.4.4,466
1988,"Midland, Ontario",35571,Apartment structures of six units and over,Three bedroom units,v3825131,97.4.4,482
1989,"Midland, Ontario",35571,Apartment structures of six units and over,Three bedroom units,v3825131,97.4.4,506
1988,"Nanticoke, Ontario",,Apartment structures of six units and over,One bedroom units,v3824706,99.4.2,298
1989,"Nanticoke, Ontario",,Apartment structures of six units and over,One bedroom units,v3824706,99.4.2,328
1988,"Nanticoke, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824894,99.4.3,346
1989,"Nanticoke, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824894,99.4.3,380
1987,"Newcastle, Ontario",,Apartment structures of six units and over,One bedroom units,v3824707,100.4.2,394
1987,"Newcastle, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824895,100.4.3,417
1987,"Norfolk, Ontario",35547,Apartment structures of six units and over,Bachelor units,v3824530,114.4.1,234
1988,"Norfolk, Ontario",35547,Apartment structures of six units and over,Bachelor units,v3824530,114.4.1,285
1989,"Norfolk, Ontario",35547,Apartment structures of six units and over,Bachelor units,v3824530,114.4.1,345
1988,"Norfolk, Ontario",35547,Apartment structures of six units and over,One bedroom units,v3824718,114.4.2,393
1989,"Norfolk, Ontario",35547,Apartment structures of six units and over,One bedroom units,v3824718,114.4.2,395
1988,"Norfolk, Ontario",35547,Apartment structures of six units and over,Two bedroom units,v3824906,114.4.3,451
1989,"Norfolk, Ontario",35547,Apartment structures of six units and over,Two bedroom units,v3824906,114.4.3,451
1987,"North Bay, Ontario",35575,Apartment structures of six units and over,Bachelor units,v3824469,101.4.1,296
1988,"North Bay, Ontario",35575,Apartment structures of six units and over,Bachelor units,v3824469,101.4.1,320
1989,"North Bay, Ontario",35575,Apartment structures of six units and over,Bachelor units,v3824469,101.4.1,357
1987,"North Bay, Ontario",35575,Apartment structures of six units and over,One bedroom units,v3824657,101.4.2,354
1988,"North Bay, Ontario",35575,Apartment structures of six units and over,One bedroom units,v3824657,101.4.2,412
1989,"North Bay, Ontario",35575,Apartment structures of six units and over,One bedroom units,v3824657,101.4.2,463
1987,"North Bay, Ontario",35575,Apartment structures of six units and over,Two bedroom units,v3824845,101.4.3,443
1988,"North Bay, Ontario",35575,Apartment structures of six units and over,Two bedroom units,v3824845,101.4.3,474
1989,"North Bay, Ontario",35575,Apartment structures of six units and over,Two bedroom units,v3824845,101.4.3,498
1989,"North Bay, Ontario",35575,Apartment structures of six units and over,Three bedroom units,v3825033,101.4.4,537
1987,"Orangeville, Ontario",,Apartment structures of six units and over,One bedroom units,v3824709,102.4.2,401
1987,"Orangeville, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824897,102.4.3,478
1987,"Orillia, Ontario",35569,Apartment structures of six units and over,Bachelor units,v3824571,103.4.1,308
1988,"Orillia, Ontario",35569,Apartment structures of six units and over,Bachelor units,v3824571,103.4.1,336
1989,"Orillia, Ontario",35569,Apartment structures of six units and over,Bachelor units,v3824571,103.4.1,371
1987,"Orillia, Ontario",35569,Apartment structures of six units and over,One bedroom units,v3824759,103.4.2,379
1988,"Orillia, Ontario",35569,Apartment structures of six units and over,One bedroom units,v3824759,103.4.2,402
1989,"Orillia, Ontario",35569,Apartment structures of six units and over,One bedroom units,v3824759,103.4.2,463
1987,"Orillia, Ontario",35569,Apartment structures of six units and over,Two bedroom units,v3824947,103.4.3,467
1988,"Orillia, Ontario",35569,Apartment structures of six units and over,Two bedroom units,v3824947,103.4.3,496
